slug,old_url,suggested_new_filename,reason
"yum-cha-comer-y-beber-con-te","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/YUM-CHA-2.webp","YUM-CHA-1.webp","idx 2 -> 1"
"yum-cha-comer-y-beber-con-te","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/YUM-CHA-3.webp","YUM-CHA-2.webp","idx 3 -> 2"
"yum-cha-comer-y-beber-con-te","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/YUM-CHA-4.webp","YUM-CHA-3.webp","idx 4 -> 3"
"yum-cha-comer-y-beber-con-te","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/YUM-CHA-5.webp","YUM-CHA-4.webp","idx 5 -> 4"
"yum-cha-comer-y-beber-con-te","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/YUM-CHA-6.webp","YUM-CHA-5.webp","idx 6 -> 5"
"yum-cha-comer-y-beber-con-te","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/YUM-CHA-7.webp","YUM-CHA-6.webp","idx 7 -> 6"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-2.webp","DOLCE-SALATO-1.webp","idx 2 -> 1"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-3.webp","DOLCE-SALATO-2.webp","idx 3 -> 2"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-4.webp","DOLCE-SALATO-3.webp","idx 4 -> 3"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-5.webp","DOLCE-SALATO-4.webp","idx 5 -> 4"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-6.webp","DOLCE-SALATO-5.webp","idx 6 -> 5"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-7.webp","DOLCE-SALATO-6.webp","idx 7 -> 6"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-8.webp","DOLCE-SALATO-7.webp","idx 8 -> 7"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-9.webp","DOLCE-SALATO-8.webp","idx 9 -> 8"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-10.webp","DOLCE-SALATO-9.webp","idx 10 -> 9"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-11.webp","DOLCE-SALATO-10.webp","idx 11 -> 10"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-12.webp","DOLCE-SALATO-11.webp","idx 12 -> 11"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-13.webp","DOLCE-SALATO-12.webp","idx 13 -> 12"
"dolce-salato","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/DOLCE-SALATO-14.webp","DOLCE-SALATO-13.webp","idx 14 -> 13"
"la-vinoteca-zoco-celebracion-del-vino","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/LA-VINOTECA-2.webp","LA-VINOTECA-1.webp","idx 2 -> 1"
"la-vinoteca-zoco-celebracion-del-vino","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/LA-VINOTECA-3.webp","LA-VINOTECA-2.webp","idx 3 -> 2"
"la-vinoteca-zoco-celebracion-del-vino","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/LA-VINOTECA-4.webp","LA-VINOTECA-3.webp","idx 4 -> 3"
"la-vinoteca-zoco-celebracion-del-vino","https://azure-seal-918691.hostingersite.com/wp-content/uploads/2025/10/LA-VINOTECA-5.webp","LA-VINOTECA-4.webp","idx 5 -> 4"
